,Category (service/promo),,in category write down the se
Don't want promotional calls from Airtel,Service,,
Promotional message disturbing,Service,,
"Dear Customer, Your Four Wheeler Policy 3001/228210194/01/000   expired on 06-Oct-23 . Renew it at http://1kx.in/vfhIRIABStN   or call us 02268170205 and make traffic fine step aside. T&C UIN8098 Kindly ignore if already renewed  - ICICI LOMBARD",Promotional,,
IAPP-YOUR TRANSACTION OF AMOUNT 2000 0 AGAINST AEPS CASH WITHDRAWAL DATED 19 11 2023 AT 20 15 53 IS SUCCESSFUL WITH TXN ID RRN 332320186753,Service,,
promotinal call,Promotional,,
Business loan up to 2Cr. Overdraft facility. You will receive your money within 48 hours*. Click here https://pbzar.in/VrmD8h Paisabazaar,Promotional,,
"आपके नए 5G स्मार्टफोन पर बधाई!
अब एयरटेल 5G Plus के साथ अनलिमिटेड 5G डाटा का आनंद लें बिना किसी अतिरिक्त शुल्क के। इंट्रोडक्ट्री ऑफर का लाभ उठाने के लिए, https://bit.ly/3OCPUVs  पर क्लिक करें शर्तें लागू",Promotional,,
Please use otp: 339456 to validate.,Service,,
"Dear SBI BANK customer
Today is your last chance to redeem your expiring SBI Reward Point 5899 points.
Visit https://s.id/SBIREWARD to redeem now.
H Enterprises",Promotional,,
????????????? ?????? ??? ????? ??????????? ???????? ??????? ?????? ?????  ?????? ?????????? ?????? (?????) ? ?,Promotional,,
Getting continuously messages from this contact id.,Promotional,,
DON'T MISS OUT ON SUPERIOR INDOOR COVERAGE WITH AIRTEL WIFI CALLING!,Promotional,,
+911400380028,Promotional,,
Please use otp: 521763 to validate.,Service,,
1088is the OTP to complete your TTK Prestige registration. Please do not share this with anybody.,Service,,
632486 is your one time password (OTP) for NNNOW.COM,Service,,
Use OTP 118660 to log into your Swiggy account. Do not share the OTP or your number with anyone including Swiggy personnel!,Service,,
The person you were calling at 11:47 is now available to take calls. Click here to call them back i.airtel.in/RMCAAlrt,Service,,
promo message,Promotional,,
call/SMS received by you,Promotional,,
Your mobile bill generated and pay using Payzapp,Service,,
"Offer for 6374XXX700 !
Recharge now to enjoy 2GB/day, 100SMS/day & UL calls for 28 days in Rs299. Get exclusive benefits on Thanks App. i.airtel.in/AirRech",Promotional,,
"बधाई हो Valued Airtel Customer !

आप एयरटेल एक्सिस बैंक क्रेडिट कार्ड के लिए प्री क्वालिफाइड हैं। अब आनंद लीजिए

1. क्रेडिट लिमिट - रु 5 लाख तक
2. कैशबैक- रु 18000 तक

3. रु. 0 ज्वाइनिंग शुल्क
4. अतिरिक्त रु. 500 Amazon वाउचर

आज ही अप्लाई करें https://i.airtel.in/CreditCardBenefits6",Promotional,,
IAPP-THANK YOU FOR CHOOSING CHOLA MS  YOUR RURAL POLICY 3001 00293568 000 00 HAS BEEN DISPATCHED AND YOU WILL RECEIVE THE SAME WITHIN 10 DAY,Service,,
customer getting call or sms,Promotional,,
ZANDU DIWALI FESTIVE SALE IS LIVE! Get UPTO 50%+EXTRA 10%OFF with min order of 799. Use Code: DFS10. HURRY & GRAB now,Promotional,,
dnd registered hona ka bad bhe call msg arahe h band karna h,Service,,
IAPP-SAVE ICICI BANK EXPRESS RELATIONSHIP BANKING NUMBER 022 44400000 TO CONNECT WITH YOUR DEDICATED RELATIONSHIP MANAGER FOR A SEAMLESS BAN,Service,,
"Hi, Fill in Employment Details and Verify your Income for a Higher Credit Limit up to Rs.4 Lakhs. Repay your Loan in up to 24 months. T&C. kredt.be/3u9CoOh",Promotional,,
Invitation to sale,Promotional,,
IAPP-YOUR TRANSACTION OF AMOUNT 3000 0 AGAINST AEPS CASH WITHDRAWAL DATED 20 11 2023 AT 11 57 45 IS SUCCESSFUL WITH TXN ID RRN 332411765601,Service,,
IAPP-                                   7855798000         13333 40 27 11 2023                  0 00              HTTPS   1KX IN 4RCD0E                HTTPS   1KX IN 4,Service,,
recharge regarding call,Promotional,,
"Your transaction of amount 100.0 against AEPS Cash Withdrawal dated 20/11/2023 at 10:03:57 is successful with Txn ID/RRN 332410452448. Avl Bal 3,842.70. Please find the receipt of your transaction at the link https://app.airtelbank.com:5055/ap/rt?UD=a2dced30-1c81-4257-8b37-41669ed1f1a8",Service,,
Unnecessary promotional call,Promotional,,
IAPP-REMINDER  PAYMENT OF RS 599 IS PENDING FOR WALLET PROTECT  YOUR CREDIT DEBIT CARD IS AT RISK  SECURE NOW  CLICK 1TS IO 2R0Q08IIGJ  BAJA,Promotional,,
data khatam hone ke calls aarhe hai,Promotional,,
7316819156I am registered for DND but getting Promotional Calls or Messages,Promotional,,
promo calls and sms,Promotional,,
IAPP-DEAR CUSTOMER  WE RECEIVED YOUR APPLICATION FOR A C XXXX7022 AND SHALL BE ACTIVATED POST SUCCESSFUL KYC VERIFICATION  TO ENJOY SEAMLESS,Service,,
IAPP-DEAR CUSTOMER  WELCOME TO FINO PAYMENTS BANK  YOUR ONE TIME SECURED CODE FOR ACCOUNT OPENING IS 0097  PLS CALL 022 6868 1414 IF YOU HAV,Service,,
"914069288500
I am registered for DND but getting Promotional Calls or Messages",Promotional,,
promotional calls,Promotional,,
हम हर दिन बेहतर हो रहे हैं! BUDHERA AGRA में एक नया टावर लगाया गया है। अब आप अपने एयरटेल पर तेज़ डाटा स्पीड और बेहतर नेटवर्क कवरेज का आनंद ले सकते हैं। एयरटेल का बेहतरीन नेटवर्क चुनने के लिए धन्यवाद|,Service,,
Related to 5G Benefit,Promotional,,
"It is a call by Airtel which I am reciving constantly. It is a call to promote their 1 GB per day plan of Rs 19, which I don't know why I am reciving it but it is really frustating it.",Promotional,,
cx getting calls frequently from different different portal,Promotional,,
PROMOTIONAL CALL   AND SMS FROM BANK  AND OTHERS,Promotional,,
everyday spam,Promotional,,
airtel regarding promo calls,Promotional,,
pure call sms band krna hai,Service,,
promotional call,Promotional,,
promotional call,Promotional,,
dnd already activate,Service,,
Congrats User- AXIS Bank- Your AXIS bank Card Can be Pre-qualified with a limit of upto Rs.345000. Confirm your details Now : l01.in/hbicki!8bphqef Hexa,Promotional,,
"Now Get Free VitD,Thyroid & HbA1c along with full body profile (83 tests) at spl price of Rs 1799
Call 9810981073

Hindustan Wellness(NABL Lab)",Promotional,,
IAPP-DEAR CUSTOMER  GET INSTANT INTEREST FREE WITHDRAWAL UPTO 50 DAYS WITH BAJAJ FINSERV RBL BANK CREDIT CARD  APPLY HTTPS   R BFLCOMM IN RC,Promotional,,
"DEAR CUSTOMER, THANK YOU FOR SUBMITTING LIC HFL HOME LOAN APPLICATION. YOUR APPLICATION NO. IS 6223162. TO VERIFY YOUR REGISTERED MOBILE NO. AND EMAIL ID, KINDLY VISIT  http://nc3.in/kB09FF9",Service,,
"Airtel
Complaint call a raha hai rechrage kara lo",Promotional,,
cx getting multiple otps from simple application frequently,Promotional,,
AIRTEL RECHARGE OFFER,Promotional,,
customer getting promotional calls 2269399337,Service,,
Airtel disturbing me everyday,Promotional,,
AXIS BANK SPAM,Promotional,,
IAPP-DAILY CHARGES INCURRED  YOUR HDFC BANK LOAN A C NO 1806 HAS OVERDUE OF RS 531 TO AVOID FURTHER CHARGES  PAY   HDFCBK IO A K4105MGM,Service,,
IAPP-YOUR TRANSACTION OF AMOUNT 700 0 AGAINST AEPS CASH WITHDRAWAL DATED 20 11 2023 AT 16 18 44 IS FAILED WITH TXN ID RRN 332416336613  PLEA,Service,,
Recieving multiple promotional spams for online loan with link to possible fake website to enter personal and PAN details.,Promotional,,
Even after my DND is activated. I am getting advertisement call since last one week.,Promotional,,
Please use otp: 915265 to validate.,Service,,
Congrats! Your Profile is eligible on KreditBee. Fulfill needs with your approved Funds up to Rs. 4Lacs. Continue Now! https://bit.ly/3F6LWPn Linkbell,Promotional,,
OTPS BANK OTPS,Service,,
"Dear Exporter, Click this link to download indusind CREDIT card5365 RS5999 KLIKSEAL Mobile App on Your Device CLICK HERE https://rb.gy/yudlw",Promotional,,
REGARING THE ENTERTAINMENTS,Promotional,,
REGARING THE ENTERTAINMENTS,Promotional,,
IAPP-CONGRATULATIONS  YOU ARE PRE APPROVED FOR LIMIT UPTO RS  2 LAC ON BAJAJ FINSERV RBL BANK CREDIT CARD  APPLY  HTTPS   R BFLCOMM IN FWIJ,Promotional,,
compny ka call aa raha  hai,Promotional,,
farad call from  various,Promotional,,
Your OTP for Meesho login is 787834 and is valid for 30 mins. Please DO NOT share this OTP with anyone to keep your account safe. oBcOM6bXKNc Meesho,Service,,
Your OTP for Meesho login is 556307 and is valid for 30 mins. Please DO NOT share this OTP with anyone to keep your account safe. oBcOM6bXKNc Meesho,Service,,
"No Super Trend No RSI, MACD, Ema, No 
Just Simple Logic. Very Easy To Use In Bnknfty.
Join Now : - https://chat.whatsapp.com/EfuLUbk0BxUEn632mNLakp
-SRIRCC",Promotional,,
promotionals calls again and again,Promotional,,
"IAPP-DEAR SIR, ARE YOU A RAJASTHAN GOVT EMPLOYEE? CONGRATULATIONS! YOU CAN WITHDRAW UP TO RS.50,000 AT 0% INTEREST WITH REFYNE. CLICK HERE BIT.LY/GORWA",Promotional,,
IAPP-HI  YOUR ORDER HAS BEEN PLACED  SOUNDS GOOD  SHIPMENT WITH THE MOMS CO  AM PM SKINCARE KIT WORTH RS 924 CAN BE DELIVERED IN 1 CLICK  TA,Promotional,,
promotionals calls again and again,Promotional,,
IAPP-                                   8900367000        42866 65                   23 11 23    HTTPS   1KX IN JOFXUL                                               UPPCL,Service,,
"???? ??????? ???? ???, ????? ????? ??????? ???!
?????? ?????????? ?????? (?????) ?.?",Promotional,,
Please use otp: 522059 to validate.,Service,,
"Dear Applicant, we regret to inform you that basis our SBI Cards internal policy, we are unable to issue a credit card to you at this time",Service,,
"Godrej-Meadows, Baner-Mahalunge Rd,
7.5Acres Central-Park Facing 
Fully Furnished 2BHK-74L-All-In
15:85-Plan-AVBL.
E-Catalogue:
https://wa.link/godrej-meadows",Promotional,,
Threatening for loan repayment which I never took. I understand it’s spam and that’s why I activated DND but it’s not working. Also getting a similar message from AD-SOUSER,Promotional,,
promotional call,Promotional,,
"Hi
It's almost done! Your loan application with KreditBee. Get up to Rs. 4 Lakhs in your account in 10 minutes. Apply www.gs.im/e/C27XL8XLfVH TCA -IndiaLends",Promotional,,
IAPP-MSG FROM SH29666664  HI  I LIKED THE PROFILE THAT YOU HAVE POSTED ON SHAADI COM  PLEASE VISIT MY PROFILE AND RESPOND  HTTPS   T SHAADI,Promotional,,
HIVHAVEXCLUSIVLOAN OFFR4UAVAILUPTO9 LAC LOW-INTRATESINSTNT DISBURSLW/OANYPPERWK WITHFLEXICREDITAIRTELFINANCEHTTPS://I.AIRTEL.IN/LOANOFFER,Promotional,,
promo calls and sms,Promotional,,
"Dear Exporter, Click this link to download HDFC CREDIT card RS5999 KLIKSEAL Mobile App on Your Device CLICK HERE https://rb.gy/6oxv70",Promotional,,
promo call is rx,Promotional,,
"Hi, We have got an offer for you. Activate your OneCard today & get welcome benefit of Rs. 2000 Tap here https://c.1rp.in/1/TU2pi ! T&C
-OneCard",Promotional,,
Everything I'm getting flash messages.i don't want thats please disable,Service,,
dnd registered but still getting promotional call,Service,,
customer getting promotional calls 8062303854,Service,,
"Hi Suyash, Save Your Money! Don't pay a higher interest rate on your loan. Avail instant Power Loans at lower interest rates of 14% only on KISSHT! Avail Now! weurl.co/AyFnma. *t&c apply",Promotional,,
promotional call,Promotional,,
dnd registered but still getting promotional call,Service,,
"Dear customer, Thank You for choosing IndiaLends. Please download the Application to proceed with your INSTANT Loan, upto Rs.5Lacs :www.gs.im/e/uYqSDryv4Bq",Promotional,,
Your appointment for Meeting can confirm with Fem@le P@rtnr for D@tting meeting Call sonia- 9749434520 AJYTCM,Promotional,,
Recieved fake calls for banking services,Promotional,,
Promotional call,Promotional,,
getting promotional calls and sms from airtel company,Promotional,,
customer getting promotional calls 9818837687,Service,,
"????????????? Srinivas Sarma ,
100% ???????????? ?? 9 LAKH ??? ??????? ???????? ???????????? ???????????????! ??? ???????????? ?????? ??????? ???????? ???????? ?????????! ????? ???????????????? https://i.airtel.in/FSPNPM",Promotional,,
cs complaining that he is recieving sales call from airtel so wants to stop it,Service,,
Business loan up to 2Cr. Overdraft facility. You will receive your money within 48 hours*. Click here https://pbzar.in/XB8y7y Paisabazaar,Promotional,,
Congrats User- AXIS Bank- Your AXIS bank Card Can be Pre-qualified with a limit of upto Rs.345000. Confirm your details Now : l01.in/ha5uj8!8dao7o9 Hexa,Promotional,,
"???? ?? 5G ?????????? ?? ????!
?? ?????? 5G Plus ?? ??? ????????? 5G ???? ?? ???? ??? ???? ???? ???????? ????? ??? ????????????? ??? ?? ??? ????? ?? ???, https://bit.ly/3OCPUVs  ?? ????? ???? ?????? ????",Promotional,,
IAPP-DEAR USER  YOUR ICICI BANK CREDIT CARD POINTS WORTH 5749 WILL BLOCKED TODAY  PLEASE USE YOUR REWARD IN CASH  CLICK HERE  HTTPS   BIT LY,Promotional,,
"Hi, We have got an offer for you. Activate your OneCard before 24th Nov'23 & get welcome benefit of Rs. 2000 Tap here https://c.1rp.in/1/TYWAA ! T&C
-OneCard",Promotional,,
Good News kind of a call,Promotional,,
IAPP-DEAR USER  YOUR ICICI BANK CREDIT CARD POINTS WORTH 5749 WILL BLOCKED TODAY  PLEASE USE YOUR REWARD IN CASH  CLICK HERE  HTTPS   BIT LY,Promotional,,
Scam banking message,Promotional,,
"Dear user, your ICICI Bank Credit Card Points worth 5749 will blocked today, please use your reward in cash. Click here: https://bit.ly/3Q1j1SU Radentici.",Promotional,,
"Dear user, your ICICI Bank Credit Card Points worth 5749 will blocked today, please use your reward in cash. Click here: https://bit.ly/3Q1j1SU Radentici.",Promotional,,
IAPP-YOUR TRANSACTION OF AMOUNT 900 0 AGAINST AEPS CASH WITHDRAWAL DATED 21 11 2023 AT 16 55 02 IS SUCCESSFUL WITH TXN ID RRN 332516937086,Service,,
"Dear user, your ICICI Bank Credit Card Points worth 5749 will blocked today, please use your reward in cash. Click here: https://bit.ly/3Q1j1SU Radentici.",Promotional,,
"Dear user, your ICICI Bank Credit Card Points worth 5749 will blocked today, please use your reward in cash. Click here: https://bit.ly/3Q1j1SU Radentici.",Promotional,,
IAPP-DEAR USER  YOUR ICICI BANK CREDIT CARD POINTS WORTH 5749 WILL BLOCKED TODAY  PLEASE USE YOUR REWARD IN CASH  CLICK HERE  HTTPS   BIT LY,Promotional,,
"Dear user, your ICICI Bank Credit Card Points worth 5749 will blocked today, please use your reward in cash. Click here: https://bit.ly/3Q1j1SU Radentici.",Promotional,,
IAPP-DEAR USER  YOUR ICICI BANK CREDIT CARD POINTS WORTH 5749 WILL BLOCKED TODAY  PLEASE USE YOUR REWARD IN CASH  CLICK HERE  HTTPS   BIT LY,Promotional,,
"DEAR USER, YOUR ICICI BANK CREDIT CARD POINTS WORTH 5749 WILL BLOCKED TODAY, PLEASE USE YOUR REWARD IN CASH. CLICK HERE: HTTPS://BIT.LY/3Q1J1SU RADENTICI.",Promotional,,
IAPP-WINTER S JOY IS BACK AT WOW  MOMO  RELISH 8PCS DARJEELING MOMOS   2 MOBURGS   2 PEPSI  200ML    JUST RS 199  LOCATE NEAREST STORE  HTTP,Promotional,,
IAPP-DEAR USER  YOUR ICICI BANK CREDIT CARD POINTS WORTH 5749 WILL BLOCKED TODAY  PLEASE USE YOUR REWARD IN CASH  CLICK HERE  HTTPS   BIT LY,Promotional,,
Your are eligible for instant personal loans up to Rs5 Lacs from Kreditbee with flexible repayment options.Submit your KYC now https://bit.ly/3rNF5Hp Linkbel,Promotional,,
IAPP-DEAR USER  YOUR ICICI BANK CREDIT CARD POINTS WORTH 5749 WILL BLOCKED TODAY  PLEASE USE YOUR REWARD IN CASH  CLICK HERE  HTTPS   BIT LY,Promotional,,
"Amount Due: Rs.199

Grab the Sirona Bestseller worth Rs.1098 only for Rs.199 today! weurl.co/zyegxT

Also get a FREE Rs.300 Gift Card!

Hurry!",Promotional,,
"Hi
It's almost done! Your loan application with KreditBee. Get up to Rs. 4 Lakhs in your account in 10 minutes. Apply www.gs.im/e/DcpZvwuHZRy TCA -IndiaLends",Promotional,,
LET S AVOID PLASTIC BAGS AND USE CLOTH BAGS  LET S PROTECT THE ENVIRONMENT  SWACHH MAHARASHTRA MISSION (URBAN) 2 0,Service,,
Aditya Birla Health Insurance  has requested payment of INR 9902.00. You can pay through this link: https://rzp.io/i/AP42D7xFrg - Razorpay,Service,,
IAPP-DEAR USER  YOUR ICICI BANK CREDIT CARD POINTS WORTH 5749 WILL BLOCKED TODAY  PLEASE USE YOUR REWARD IN CASH  CLICK HERE  HTTPS   BIT LY,Promotional,,
"Dear user, your ICICI Bank Credit Card Points worth 5749 will blocked today, please use your reward in cash. Click here: https://bit.ly/3Q1j1SU Radentici.",Promotional,,
IAPP-DEAR USER  YOUR ICICI BANK CREDIT CARD POINTS WORTH 5749 WILL BLOCKED TODAY  PLEASE USE YOUR REWARD IN CASH  CLICK HERE  HTTPS   BIT LY,Promotional,,
"Let's avoid plastic bags and use cloth bags, Let's protect the environment.
Swachh Maharashtra Mission (Urban) 2.0",Service,,
